date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:55:12	16730/-1	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/index.html	(from )
11:55:12	1395/1395	---M--	200	added ('OK')	text/html	date:Thu,%2015%20Nov%202012%2006:24:14%20GMT	http://www.cplusplus.com/robots.txt		(from )
11:55:12	20963/20963	---M--	200	added ('OK')	text/css	etag:%222b500c4-51e3-4cb0ca0671980%22	http://www.cplusplus.com/v311/main.css	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/v311/main.css	(from )
11:55:13	36044/36044	---M--	200	added ('OK')	application/x-javascript	etag:%222b500c5-8ccc-4ca08629f5180%22	http://www.cplusplus.com/v311/main.js	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/v311/main.js	(from )
11:55:14	13386/13386	---M--	200	added ('OK')	text/javascript	etag:13845740533913470703	http://pagead2.googlesyndication.com/pagead/show_ads.js	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/pagead2.googlesyndication.com/pagead/show_ads.js	(from )
11:55:15	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Nov%202012%2006:24:17%20GMT	http://www.cplusplus.com/reference/iostream/cin.html	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/iostream/cin.3.delayed	(from )
11:55:15	7356/7356	---M--	200	added ('OK')	text/html	etag:1351951534	http://www.cplusplus.com/reference/clibrary/cassert/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/clibrary/cassert/index.html	(from http://www.cplusplus.com/reference/)
11:55:15	15693/-1	---M--	200	added ('OK')	text/html	etag:1351951534	http://www.cplusplus.com/reference/clibrary/cctype/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/clibrary/cctype/index.html	(from http://www.cplusplus.com/reference/)
11:55:16	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Nov%202012%2006:24:18%20GMT	http://www.cplusplus.com/reference/iostream/cout.html	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/iostream/cout.4.delayed	(from )
11:55:16	7414/7414	---M--	200	added ('OK')	text/html	etag:1351951534	http://www.cplusplus.com/reference/clibrary/cerrno/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/clibrary/cerrno/index.html	(from http://www.cplusplus.com/reference/)
